,name,ID,num,coef_maj,coef_min,intercept_maj,intercept_min,dr1_Maj,dr1_Min,il1_Maj,il1_Min,diameter,shape
0,jb059_01_p_20171104_20180706.csv,jb059,19,-0.653545614,-0.517812281,61.53354211,16.19788947,-0.010620965,-0.031967886,30.76677105,8.098944737,1.652,cup
1,jb059_02_p_20171104_20180706.csv,jb059,24,-1.03148,-0.516233478,70.82243667,18.07197667,-0.014564311,-0.028565413,35.41121833,9.035988333,2.162,cup
2,jb060_01_p_20170925_20180706.csv,jb060,21,-1.155220779,-0.636494805,71.83449351,20.09113853,-0.0160817,-0.031680375,35.91724675,10.04556926,2.157,cup
3,jb060_02_p_20170925_20180706.csv,jb060,21,-1.111793506,-0.567261039,71.21741126,19.05551515,-0.01561126,-0.029768864,35.60870563,9.527757576,2.322,cup
4,jb060_03_p_20170926_20180706.csv,jb060,24,-1.21667,-0.549276957,76.47683,20.78939333,-0.015909001,-0.026421019,38.238415,10.39469667,2.532,cup
5,jb060_04_p_20170926_20180706.csv,jb060,20,-0.800267669,-0.560975188,64.15804286,18.80221429,-0.01247338,-0.029835592,32.07902143,9.401107143,2.566,cup
6,tw006_01_p_20171105_20180706.csv,tw006,27,-0.578869353,-0.339349206,40.77285714,20.16065079,-0.014197419,-0.016832255,20.38642857,10.0803254,1.788,cup
7,tw006_02_p_20171105_20180706.csv,tw006,26,-0.609769231,-0.276175043,45.371,21.28426496,-0.013439625,-0.01297555,22.6855,10.64213248,1.837,cup
8,xjb01_01_p_dr1_lm_20180116.csv,xjb01,23,-0.756063241,-0.304409091,65.4066087,20.63506522,-0.011559432,-0.01475203,32.70330435,10.31753261,1.964,cup
9,xjb01_02_p_dr1_lm_20180116.csv,xjb01,18,-0.726978328,-0.417971104,61.95131579,19.2108655,-0.011734671,-0.021757016,30.97565789,9.605432749,1.829,cup
10,xjb01_03_p_dr1_lm_20180116.csv,xjb01,25,-0.717356923,-0.339501538,74.62216308,24.87649846,-0.009613189,-0.013647481,37.31108154,12.43824923,2.19,cup
11,xjb02_01_p_dr1_lm_20180116.csv,xjb02,23,-1.14306917,-0.269341897,73.19554348,19.11058696,-0.01561665,-0.014093858,36.59777174,9.555293478,1.746,unknown
12,xjb03_01_p_dr1_lm_20180116.csv,xjb03,27,-0.512913919,-0.253552503,64.58380688,16.98855291,-0.007941835,-0.014924903,32.29190344,8.494276455,1.717,other
13,xjb04_01_p_dr1_lm_20180116.csv,xjb04,26,-0.979246154,-0.27924,82.08561538,25.33453846,-0.011929571,-0.011022107,41.04280769,12.66726923,2.087,cup
14,xjb05_01_p_dr1_lm_20180116.csv,xjb05,23,-0.755299407,-0.295821146,66.05216304,18.77468478,-0.011434893,-0.015756384,33.02608152,9.387342391,2.045,unknown
15,xjb06_01_p_dr1_lm_20180116.csv,xjb06,25,-0.640738462,-0.210095385,49.52678154,12.69146462,-0.012937212,-0.016554069,24.76339077,6.345732308,1.666,unknown
16,xjb06_02_p_dr1_lm_20180116.csv,xjb06,25,-0.799149231,-0.180213846,74.62735077,19.91332615,-0.01070853,-0.009049912,37.31367538,9.956663077,2.61,unknown
17,xjb06_03_p_dr1_lm_20180116.csv,xjb06,25,-0.963293846,-0.228044615,77.10040615,20.63621538,-0.012494018,-0.0110507,38.55020308,10.31810769,2.698,unknown
18,xjb09_01_p_dr1_lm_20180116.csv,xjb09,23,-0.8125,-0.126873518,59.29728261,14.30734783,-0.013702146,-0.008867717,29.6486413,7.153673913,1.508,unknown
19,xjb09_02_p_dr1_lm_20180116.csv,xjb09,24,-0.847520435,-0.169883043,67.42561,17.21153,-0.012569711,-0.009870305,33.712805,8.605765,1.779,unknown
20,xjb09_03_p_dr1_lm_20180116.csv,xjb09,23,-0.690492095,-0.096829051,60.80832609,14.8318587,-0.011355223,-0.00652845,30.40416304,7.415929348,1.724,unknown
21,xjb10_01_p_dr1_lm_20180116.csv,xjb10,22,-1.047603614,-0.260894975,73.58801976,16.78571542,-0.014236062,-0.015542678,36.79400988,8.392857708,2.166,stellate
22,xjb10_02_p_dr1_lm_20180116.csv,xjb10,19,-1.414966667,-0.401278947,82.53822632,21.05182632,-0.017143168,-0.019061479,41.26911316,10.52591316,2.146,stellate
23,xjb12_01_p_dr1_lm_20180116.csv,xjb12,24,-0.700038261,-0.260596087,59.15660667,17.58639667,-0.011833645,-0.014818049,29.57830333,8.793198333,1.678,unknown
