,name,ID,num,coef_maj,intercept_maj,coef_min,intercept_min,dr1_Maj,dr1_Min,il1_Maj,il1_Min,diameter
65,xjb42_02_p_dr1_lm_20180116.csv,xjb42,17,-0.602509804,48.50137255,-0.381480392,15.42837255,-0.012422531,-0.0247259,24.25068627,7.714186275,1.659
66,xjb42_03_p_dr1_lm_20180116.csv,xjb42,16,-0.892476471,57.00519853,-0.394622059,17.80360294,-0.015656054,-0.022165292,28.50259926,8.901801471,1.493
67,xjb42_04_p_dr1_lm_20180116.csv,xjb42,18,-0.494001032,47.41339766,-0.384376677,14.36859064,-0.010419018,-0.026751175,23.70669883,7.184295322,1.623
68,xjb42_05_p_dr1_lm_20180116.csv,xjb42,18,-0.661444788,48.19005848,-0.34904644,14.77278363,-0.013725752,-0.023627669,24.09502924,7.386391813,1.742
69,xjb43_01_p_dr1_lm_20180116.csv,xjb43,17,-0.887078431,67.68545098,-0.459556373,17.2107451,-0.013105895,-0.026701713,33.84272549,8.605372549,1.531
70,xjb45_01_p_dr1_lm_20180116.csv,xjb45,24,-0.856837826,73.36976,-0.450968261,19.12476,-0.011678351,-0.023580336,36.68488,9.56238,2.412
71,xjb45_02_p_dr1_lm_20180116.csv,xjb45,22,-0.841447205,72.06569565,-0.440042914,19.0745415,-0.011676113,-0.023069646,36.03284783,9.537270751,2.5
72,xjb46_01_p_dr1_lm_201801016.csv,xjb46,30,-0.700688098,74.53441075,-0.519997998,27.3040043,-0.009400867,-0.019044752,37.26720538,13.65200215,2.92
73,xjb48_01_p_dr1_lm_20180116.csv,xjb48,38,-0.269968049,53.79204049,-0.111174964,15.908,-0.005018736,-0.00698862,26.89602024,7.954,1.926
74,xjb48_02_p_dr1_lm_20180116.csv,xjb48,39,-0.435214575,58.70717949,-0.198303644,17.06002564,-0.007413311,-0.011623877,29.35358974,8.530012821,2.023
75,xjb51_01_p_dr1_lm_20180116.csv,xjb51,27,-0.66517033,58.95280688,-0.173333333,15.33896296,-0.011283099,-0.011300199,29.47640344,7.669481481,2.58
76,xjb51_02_p_dr1_lm_20180116.csv,xjb51,27,-1.017872405,80.50041534,-0.182737485,20.09466138,-0.012644312,-0.009093833,40.25020767,10.04733069,2.058
77,xjb51_03_p_dr1_lm_20180116.csv,xjb51,31,-0.805706452,88.97566129,-0.203806048,24.62531653,-0.009055358,-0.008276281,44.48783065,12.31265827,2.617
78,xjb54_01_p_dr1_lm_20180116.csv,xjb54,18,-0.877328173,69.1360117,-0.354988648,15.23951462,-0.012689887,-0.02329396,34.56800585,7.61975731,1.762
79,xjb56_01_p_dr1_lm_20180116.csv,xjb56,31,-0.788764516,86.32920968,-0.244345968,26.30870565,-0.009136705,-0.009287647,43.16460484,13.15435282,2.559
80,xjb57_01_p_dr1_lm_20180116.csv,xjb57,27,-0.619233822,65.38537302,-0.395584249,17.2868545,-0.009470525,-0.02288353,32.69268651,8.643427249,2.042
81,xjb59_01_p_dr1_lm_20180116.csv,xjb59,27,-0.942766178,88.18803439,-0.320338828,26.46910847,-0.010690409,-0.012102366,44.0940172,13.23455423,2.265
